phase,fold_id,field,unit,n,mean,median,p95_nearest_rank,minimum,maximum,sum,role
TIMED,LOEO-v1-02,predict_including_explanation_and_model_integrity_ns,ns,90,81569.42222222222,78062.5,93958,69666,226625,7341248,DESCRIPTIVE_ALL_PLANNED_PASSES_NO_SELECTION
TIMED,LOEO-v1-02,semantic_verification_ns,ns,90,2093.1222222222223,2000.0,3000,1334,4042,188381,DESCRIPTIVE_ALL_PLANNED_PASSES_NO_SELECTION
TIMED,LOEO-v1-02,prediction_serialization_ns,ns,90,12715.744444444445,12541.0,14583,10875,21042,1144417,DESCRIPTIVE_ALL_PLANNED_PASSES_NO_SELECTION
TIMED,LOEO-v1-02,sample_inclusive_ns,ns,90,258209.7111111111,249249.5,322250,229083,435000,23238874,DESCRIPTIVE_ALL_PLANNED_PASSES_NO_SELECTION
TIMED,LOEO-v1-02,ipc_request_response_inclusive_ns,ns,90,295125,284500.5,371792,251375,480125,26561250,DESCRIPTIVE_ALL_PLANNED_PASSES_NO_SELECTION
TIMED,LOEO-v1-03,cached_input_read_parse_ns,ns,585,86997.7094017094,86167,96041,76291,178625,50893660,DESCRIPTIVE_ALL_PLANNED_PASSES_NO_SELECTION
TIMED,LOEO-v1-03,fixed_feature_conversion_ns,ns,585,56363.35726495727,55000,60708,50792,194875,32972564,DESCRIPTIVE_ALL_PLANNED_PASSES_NO_SELECTION
TIMED,LOEO-v1-03,predict_including_explanation_and_model_integrity_ns,ns,585,53549.181196581194,53125,58625,48291,121250,31326271,DESCRIPTIVE_ALL_PLANNED_PASSES_NO_SELECTION
TIMED,LOEO-v1-03,semantic_verification_ns,ns,585,1477.536752136752,1333,2500,1000,4791,864359,DESCRIPTIVE_ALL_PLANNED_PASSES_NO_SELECTION
TIMED,LOEO-v1-03,prediction_serialization_ns,ns,585,11192.873504273504,11125,12333,9791,27750,6547831,DESCRIPTIVE_ALL_PLANNED_PASSES_NO_SELECTION
TIMED,LOEO-v1-03,sample_inclusive_ns,ns,585,212296.82905982906,210167,229209,191583,400708,124193645,DESCRIPTIVE_ALL_PLANNED_PASSES_NO_SELECTION
TIMED,LOEO-v1-03,ipc_request_response_inclusive_ns,ns,585,242767.98803418802,239417,262667,210625,893500,142019273,DESCRIPTIVE_ALL_PLANNED_PASSES_NO_SELECTION
