source_type,group_id,rows,fold,risk_score_mean,sample_model,sample_installer,sample_ua
cloud_device,cloud_device::d47d93c476,14,2,43.214285714285715,V2050,manual,"Mozilla/5.0 (Linux; Android 11; V2050 Build/RP1A.200720.012; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/142.0.7444.171 Mobile Safari/537.36"
cloud_device,cloud_device::9e797f5638,13,2,43.61538461538461,V2050,manual,"Mozilla/5.0 (Linux; Android 11; V2050 Build/RP1A.200720.012; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/142.0.7444.171 Mobile Safari/537.36"
cloud_device,cloud_device::db0546c4a5,12,3,43.25,CPH2251,manual,"Mozilla/5.0 (Linux; Android 11; CPH2251 Build/RP1A.200720.011; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/142.0.7444.171 Mobile Safari/537.36"
cloud_device,cloud_device::234218b76b,11,1,38.54545454545455,SM-S908B,manual,"Mozilla/5.0 (Linux; Android 12; SM-S908B Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/114.0.5735.130 Mobile Safari/537.36"
cloud_device,cloud_device::b3c1945c9a,11,1,37.27272727272727,SM-S906B,manual,"Mozilla/5.0 (Linux; Android 12; SM-S906B Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/142.0.7444.171 Mobile Safari/537.36"
cloud_device,cloud_device::8837b4e750,10,1,42.6,2201117TI,manual,"Mozilla/5.0 (Linux; Android 11; 2201117TI Build/RKQ1.211001.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/142.0.7444.171 Mobile Safari/537.36"
cloud_device,cloud_device::c975e0be4c,9,3,43.44444444444444,V2111,manual,"Mozilla/5.0 (Linux; Android 11; V2111 Build/RP1A.200720.012; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/142.0.7444.171 Mobile Safari/537.36"
cloud_device,cloud_device::0b37752698,8,2,43.875,Pixel 7 Pro,manual,"Mozilla/5.0 (Linux; Android 13; Pixel 7 Pro Build/TD1A.220804.009.A2; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/142.0.7444.171 Mobile Safari/537.36"
cloud_device,cloud_device::4d7dee1396,8,1,40.0,PDHM00,com.android.packageinstaller,"Mozilla/5.0 (Linux; Android 11; PDHM00 Build/RKQ1.200710.002; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/83.0.4103.106 Mobile Safari/537.36"
cloud_device,cloud_device::b4dad83687,8,2,41.5,SM-S908B,manual,"Mozilla/5.0 (Linux; Android 12; SM-S908B Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/114.0.5735.130 Mobile Safari/537.36"
cloud_device,cloud_device::1388c86e16,7,2,43.42857142857143,V2050,manual,"Mozilla/5.0 (Linux; Android 11; V2050 Build/RP1A.200720.012; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/142.0.7444.171 Mobile Safari/537.36"
cloud_device,cloud_device::14cdd9a24a,6,2,41.333333333333336,ELZ-AN00,manual,"Mozilla/5.0 (Linux; Android 12; ELZ-AN00 Build/HONORELZ-AN00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/92.0.4515.105 Mobile Safari/537.36"
cloud_device,cloud_device::3af8333bd6,6,2,40.0,RMX3121,com.android.packageinstaller,"Mozilla/5.0 (Linux; Android 11; RMX3121 Build/RP1A.200720.011; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/97.0.4692.98 Mobile Safari/537.36"
cloud_device,cloud_device::463352d377,6,3,38.833333333333336,SM-S911B,manual,"Mozilla/5.0 (Linux; Android 13; SM-S911B Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/142.0.7444.171 Mobile Safari/537.36"
cloud_device,cloud_device::48d575767d,6,3,37.666666666666664,SM-S906B,manual,"Mozilla/5.0 (Linux; Android 12; SM-S906B Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/142.0.7444.171 Mobile Safari/537.36"
cloud_device,cloud_device::9b3db95234,6,2,44.0,Pixel 7,manual,"Mozilla/5.0 (Linux; Android 13; Pixel 7 Build/TD1A.220804.031; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/142.0.7444.171 Mobile Safari/537.36"
cloud_device,cloud_device::a6868d2671,6,1,15.0,PEQM00,com.coloros.filemanager,"Mozilla/5.0 (Linux; Android 12; PEQM00 Build/SP1A.210812.003; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/97.0.4692.98 Mobile Safari/537.36"
cloud_device,cloud_device::d1ab9cef50,6,1,40.0,PHJ110,com.android.packageinstaller,"Mozilla/5.0 (Linux; Android 12; PHJ110 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/97.0.4692.98 Mobile Safari/537.36"
cloud_device,cloud_device::d523f87507,6,2,44.0,2201117TI,manual,"Mozilla/5.0 (Linux; Android 11; 2201117TI Build/RKQ1.211001.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/142.0.7444.171 Mobile Safari/537.36"
cloud_device,cloud_device::dcf5b6a088,6,3,39.166666666666664,SM-S918B,manual,"Mozilla/5.0 (Linux; Android 13; SM-S918B Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/142.0.7444.171 Mobile Safari/537.36"
cloud_device,cloud_device::ea613a1448,6,2,40.0,23049RAD8C,manual,"Mozilla/5.0 (Linux; Android 15; 23049RAD8C Build/AQ3A.250226.002; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/131.0.6778.260 Mobile Safari/537.36"
cloud_device,cloud_device::17fd0c5afc,5,2,41.6,WDY-AN00,manual,"Mozilla/5.0 (Linux; Android 13; WDY-AN00 Build/HONORWDY-AN00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/99.0.4844.88 Mobile Safari/537.36"
cloud_device,cloud_device::21319647fd,5,1,41.2,PGX110,com.android.packageinstaller,"Mozilla/5.0 (Linux; Android 13; PGX110 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/103.0.5060.129 Mobile Safari/537.36"
cloud_device,cloud_device::25174b1d63,5,3,40.4,22122RK93C,manual,"Mozilla/5.0 (Linux; Android 13; 22122RK93C Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/108.0.5359.128 Mobile Safari/537.36"
cloud_device,cloud_device::3462d62915,5,1,39.8,SM-G991B,manual,"Mozilla/5.0 (Linux; Android 12; SM-G991B Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/114.0.5735.130 Mobile Safari/537.36"
cloud_device,cloud_device::3fb472b662,5,1,39.6,JLH-AN00,manual,"Mozilla/5.0 (Linux; Android 12; JLH-AN00 Build/HONORJLH-AN00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/92.0.4515.105 Mobile Safari/537.36"
cloud_device,cloud_device::60ac2aadea,5,1,43.2,V2111,manual,"Mozilla/5.0 (Linux; Android 11; V2111 Build/RP1A.200720.012; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/142.0.7444.171 Mobile Safari/537.36"
cloud_device,cloud_device::a5f7a44970,5,3,41.6,VNE-AN40,manual,"Mozilla/5.0 (Linux; Android 12; VNE-AN40 Build/HONORVNE-AN40; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/92.0.4515.105 Mobile Safari/537.36"
cloud_device,cloud_device::adf1e8107c,5,2,45.0,Pixel 8,manual,"Mozilla/5.0 (Linux; Android 14; Pixel 8 Build/UD1A.230803.022.A5; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/142.0.7444.171 Mobile Safari/537.36"
cloud_device,cloud_device::cd3c015ee7,5,2,39.6,PEMM00,com.android.packageinstaller,"Mozilla/5.0 (Linux; Android 13; PEMM00 Build/TP1A.220905.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/103.0.5060.129 Mobile Safari/537.36"
cloud_device,cloud_device::dbe8404562,5,2,42.0,NTH-AN00,manual,"Mozilla/5.0 (Linux; Android 14; NTH-AN00 Build/HONORNTH-AN00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/99.0.4844.88 Mobile Safari/537.36"
cloud_device,cloud_device::e3dd9129b0,5,3,42.6,CPH2487,manual,"Mozilla/5.0 (Linux; Android 13; CPH2487 Build/SKQ1.221012.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/142.0.7444.171 Mobile Safari/537.36"
cloud_device,cloud_device::ebb262de66,5,3,42.8,V2050,manual,"Mozilla/5.0 (Linux; Android 11; V2050 Build/RP1A.200720.012; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/142.0.7444.171 Mobile Safari/537.36"
